Subject,Run,Volume,File,HD (mm)
2192-T1,run1,vol0100,('test-GT-masks-WSU/binary/bin_mask_zpr_2192-T1_run1_vol0100.nii.gz',7.826241333
2192-T1,run1,vol0155,('test-GT-masks-WSU/binary/bin_mask_zpr_2192-T1_run1_vol0155.nii.gz',7.826237921
2192-T1,run1,vol0235,('test-GT-masks-WSU/binary/bin_mask_zpr_2192-T1_run1_vol0235.nii.gz',9.899500331
2192-T1,run1,vol0325,('test-GT-masks-WSU/binary/bin_mask_zpr_2192-T1_run1_vol0325.nii.gz',7.826231097
2206-T2,run1,vol0100,('test-GT-masks-WSU/binary/bin_mask_zpr_2206-T2_run1_vol0100.nii.gz',7
2206-T2,run1,vol0200,('test-GT-masks-WSU/binary/bin_mask_zpr_2206-T2_run1_vol0200.nii.gz',6.062177826
2206-T2,run1,vol0235,('test-GT-masks-WSU/binary/bin_mask_zpr_2206-T2_run1_vol0235.nii.gz',7
2206-T2,run1,vol0324,('test-GT-masks-WSU/binary/bin_mask_zpr_2206-T2_run1_vol0324.nii.gz',7
2228-T2,me123,vol0075,('test-GT-masks-WSU/binary/bin_mask_zpr_2228-T2_me123_vol0075.nii.gz',8.5732141
2228-T2,me123,vol0115,('test-GT-masks-WSU/binary/bin_mask_zpr_2228-T2_me123_vol0115.nii.gz',7.826237921
2228-T2,me123,vol0150,('test-GT-masks-WSU/binary/bin_mask_zpr_2228-T2_me123_vol0150.nii.gz',6.062177826
2228-T2,me123,vol0225,('test-GT-masks-WSU/binary/bin_mask_zpr_2228-T2_me123_vol0225.nii.gz',7.826237921
